,TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX,kind_age
16,1,천안,성인,일반,41,관리자,3등급,20211002,"준비운동:누워서 머리 위로 팔꿈치 펴기 ,손목 펴기/굽히기,팔꿈치 굽히기,앉아서 다리 밀기,앉아서 다리 펴기,앉았다 일어서기,서서 균형잡기,상지 루틴 스트레칭,하지 루틴 스트레칭1",M,40대
223,2,KSPO아산,성인,일반,40,관리자,3등급,20211029,"준비운동:실내 자전거타기,트레드밀에서 걷기,수영",M,40대
262,1,북구(광주),성인,일반,48,관리자,3등급,20211016,"본운동:달리기,수영,실외 자전거타기,계단 뛰어 오르기",M,40대
265,4,북구(광주),성인,일반,48,관리자,3등급,20211016,"본운동:버피운동,팔벌려뛰기,무릎 높여 제자리 달리기",F,40대
373,2,미추홀,성인,일반,46,관리자,3등급,20211029,"준비운동:걷기,달리기 / 본운동:스텝퍼 뛰어서 오르내리기,스텝퍼 뛰어서 넘어가기,스텝퍼 옆으로 뛰어넘기",M,40대
403,4,스포원(금정),성인,일반,46,인바디,3등급,20211019,"준비운동:허리 스트레칭,배스트레칭,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",M,40대
750,2,의정부,성인,일반,46,관리자,3등급,20211028,"준비운동:하지 루틴 스트레칭2,전신 루틴 스트레칭,맨몸운동  루틴프로그램",M,40대
872,3,남구(울산),성인,일반,43,관리자,3등급,20211020,"준비운동:앉았다 일어서기,서서 뒤꿈치 들기,턱걸이,뒤로 팔굽혀펴기,바벨들어올리기,윗몸올리기 ,달리기,줄넘기,사다리 안팎 뛰기,버피운동,전신 루틴 스트레칭,자가근막이완술 루틴 스트레칭,메디신 볼 잡고 런지하며 상체비틀기,메디신볼 운동  루틴프로그램,베개 밟고 서기,균형 걷기",F,40대
917,1,세종,성인,일반,42,관리자,3등급,20211023,"준비운동:걷기,유산소 운동 전 동적 루틴 스트레칭 / 본운동:맨몸운동  루틴프로그램,팔벌려뛰기,사다리 옆으로 발 옮기기,옆으로 펀치하기,스텝퍼 오르내리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",F,40대
1036,4,강릉,성인,일반,41,관리자,3등급,20211029,"본운동:뒤로 팔굽혀펴기,허리 굽혀 팔 뒤로 들기,물병 옆으로 들어올리기,팔꿈치 굽히기",M,40대
1127,1,마포,성인,일반,47,관리자,3등급,20211020,"본운동:앉아서 다리 밀기,앉아서 다리 펴기,윗몸 말아 올리기,서서 상체 일으키기,앉았다 일어서기,달리기,실내 자전거타기,계단 올라갔다 내려오기,수영,목 스트레칭,등/어깨 뒤쪽 스트레칭,허리 스트레칭,넙다리 뒤쪽 스트레칭",M,40대
1279,1,마포,성인,일반,48,관리자,3등급,20211029,"준비운동:전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:달리기,실내 자전거타기,트레드밀에서 걷기,계단 올라갔다 내려오기,턱걸이,허리 굽혀 덤벨 들기,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,덤벨 옆으로 들어올리기,허리 굽혀 팔 뒤로 들기,물병 옆으로 들어올리기 / 마무리운동:작은 공을 이용한 동적 루틴 스트레칭 ,자가근막이완술 루틴 스트레칭",F,40대
1292,1,원주,성인,일반,41,관리자,3등급,20211029,"준비운동:턱걸이,바벨 끌어당기기,매달려서 다리 들기,앉았다 일어서기,팔굽혀펴기,한발 앞으로 내밀고 앉았다 일어서기 / 본운동:소파를 이용한 윗몸올리기,엎드려 버티기,옆으로 누워 버티기,누워서 수직으로 다리 들어올리기 ,누워서 엉덩이 들어올리기,네발기기 자세로 팔 다리 들기 / 마무리운동:전신 루틴 스트레칭,달리기,실내 자전거타기,트레드밀에서 걷기,수영,하지 루틴 스트레칭1",F,40대
1435,1,KSPO광주,성인,일반,47,관리자,3등급,20211023,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:누워서 엉덩이 들어올리기,서서 상체 일으키기,엎드려 버티기,누워서 공들고 몸 기울이기,네발기기 자세로 팔 다리 들기,팔굽혀펴기,누워서 배가로근 수축 I / 마무리운동:허리 스트레칭,옆구리 스트레칭,엉덩이 스트레칭",F,40대
1681,1,마포,성인,일반,41,관리자,3등급,20211021,"준비운동:전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:달리기,실내 자전거타기,트레드밀에서 걷기,계단 올라갔다 내려오기,턱걸이,허리 굽혀 덤벨 들기,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,덤벨 옆으로 들어올리기,허리 굽혀 팔 뒤로 들기,물병 옆으로 들어올리기 / 마무리운동:작은 공을 이용한 동적 루틴 스트레칭 ,자가근막이완술 루틴 스트레칭",M,40대
1692,1,달서,성인,일반,41,인바디,3등급,20211022,"준비운동:달리기,실내 자전거타기,줄넘기,앉아서 다리 밀기,앉아서 다리 펴기,앉아서 다리 굽히기,몸통 들어올리기,파워클린,짐볼 이용 근력운동 루틴 프로그램,머신이용 근력운동 루틴프로그램,팔굽혀 펴기,누워 다리 들어올리기,누워서 덤벨 들어올리기,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,턱걸이,윗몸올리기",M,40대
1800,1,김천,성인,일반,41,관리자,3등급,20211016,준비운동:정적 스트레칭  루틴프로그램,M,40대
1846,2,스포원(금정),성인,일반,46,인바디,3등급,20211016,본운동:달리기,M,40대
1930,1,강북,성인,출장,41,관리자,3등급,20211021,"준비운동:윗몸올리기 ,소파를 이용한 윗몸올리기,엎드려 버티기,누워서 엉덩이 들어올리기,앉았다 일어서기,팔굽혀펴기,하지 루틴 스트레칭2,허리 스트레칭",M,40대
2005,1,달서,성인,출장,49,관리자,3등급,20211021,"준비운동:팔굽혀 펴기,뒤꿈치 들기,누워 다리 들어올리기,윗몸 말아 올리기,의자 앞에서 앉았다 일어서기,누워서 엉덩이 들어올리기,덤벨 잡고 뒤꿈치 들기,전완대고 버티기,플렉스 바 비틀기 / 본운동:달리기,줄넘기,계단 뛰어 오르기,자전거타기,스텝박스 오르내리기",F,40대
2254,17,세종,성인,일반,48,관리자,3등급,20211022,"준비운동:하지 루틴 스트레칭1,상지 루틴 스트레칭 / 본운동:허리 스트레칭,배스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭 / 마무리운동:전신 루틴 스트레칭",F,40대
2302,1,서구(광주),성인,일반,44,관리자,3등급,20211019,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭 ,짐볼을 이용한 동적 루틴 스트레칭,작은 공을 이용한 동적 루틴 스트레칭  / 마무리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭",F,40대
2305,1,서구(광주),성인,일반,47,관리자,3등급,20211020,"준비운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭 / 본운동:달리기,실외 자전거타기,실내 자전거타기",F,40대
2324,1,동구(인천),성인,출장,48,관리자,3등급,20211014,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
2574,2,구미,성인,일반,42,관리자,3등급,20211028,"본운동:달리기,실외 자전거타기,트레드밀에서 걷기,계단 올라갔다 내려오기,엎드려서 균형잡기,윗몸 말아 올리기,엎드려서 다리 차올리기,앉았다 일어서기,옆으로 누워 버티기,누워서 다리 들어올리기,누워서 팔 다리 동시에 들어올리기,누워서 엉덩이 들어올리기",F,40대
2620,1,세종,성인,일반,40,관리자,3등급,20211014,"준비운동:하지 루틴 스트레칭1,걷기 / 본운동:앉았다 일어서기,앞굽이 앉았다 일어서기,연속 사이드 스쿼드,팔굽혀 펴기,뒤로 팔굽혀펴기,서서 상체 일으키기,윗몸올리기 ,누워서 다리 들어올리기,누워서 엉덩이 들어올리기 / 마무리운동:정적 스트레칭  루틴프로그램",F,40대
2833,2,동구(인천),성인,출장,42,관리자,3등급,20211015,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
2836,2,동구(인천),성인,출장,47,관리자,3등급,20211015,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
2837,2,동구(인천),성인,출장,41,관리자,3등급,20211015,"준비운동:목 스트레칭,팔굽혀 펴기,걷기,회전근개 스트레칭,턱걸이",F,40대
2861,1,안산,성인,일반,43,관리자,3등급,20211029,"준비운동:유산소 운동 전 동적 루틴 스트레칭,하지 루틴 스트레칭1,상지 루틴 스트레칭 / 본운동:앉았다 일어서기,윗몸올리기 ,엎드려 버티기,옆으로 누워 버티기,누워서 다리 들어올리기,네발기기 자세로 팔 다리 들기,엎드려서 팔 다리 들기,팔굽혀펴기,서서 뒤꿈치 들기 / 마무리운동:자가근막이완술 루틴 스트레칭,허리 스트레칭,엉덩이 스트레칭,전신 루틴 스트레칭",F,40대
2904,1,강북,성인,출장,41,관리자,3등급,20211020,준비운동:윗몸올리기,M,40대
2987,4,서초,성인,일반,49,관리자,3등급,20211025,"준비운동:정적 스트레칭  루틴프로그램 / 본운동:몸통 들어올리기,덤벨 잡고 뒤꿈치 들기,밴드 걸고 누워서 다리 들어올리기,한 발 뒤로 들어올리기 / 마무리운동:걷기",M,40대
3034,2,서구(광주),성인,일반,44,관리자,3등급,20211020,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭 ,짐볼을 이용한 동적 루틴 스트레칭,작은 공을 이용한 동적 루틴 스트레칭  / 마무리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭",F,40대
3092,1,세종,성인,일반,42,관리자,3등급,20211019,"준비운동:걷기 / 본운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭,허리 스트레칭,배스트레칭,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭  / 마무리운동:하지 루틴 스트레칭2",M,40대
3148,1,달서,성인,출장,49,관리자,3등급,20211021,"준비운동:앉아서 다리 밀기,앉아서 다리 펴기,앉아서 다리 굽히기,뒤꿈치 들기,원판던지기,파워클린,앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,턱걸이",F,40대
3262,2,증평,성인,일반,47,관리자,3등급,20211028,"준비운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,전신 루틴 스트레칭 / 본운동:달리기,실내 자전거타기,계단 올라갔다 내려오기,수영,목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭,허리 스트레칭,배스트레칭,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭 / 마무리운동:걷기",M,40대
3312,2,KSPO광주,성인,일반,40,관리자,3등급,20211022,"본운동:누워서 엉덩이 들어올리기,네발기기 자세로 팔 다리 들기,배스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭,트레드밀에서 걷기,실내 자전거타기,수영,계단 올라갔다 내려오기",M,40대
3344,2,스포원(금정),성인,일반,44,인바디,3등급,20211023,"본운동:배스트레칭,하지 루틴 스트레칭1,허리 스트레칭,상지 루틴 스트레칭",M,40대
3379,1,원주,성인,일반,48,관리자,3등급,20211019,"준비운동:깍지 끼고 상체 숙이기,목 스트레칭,등/어깨 뒤쪽 스트레칭,어깨 뒤쪽 스트레칭,아래 팔 스트레칭 / 본운동:몸통 들어올리기,소파를 이용한 윗몸올리기,엎드려 버티기,옆으로 누워 버티기,네발기기 자세로 팔 다리 들기,엎드려서 팔 다리 들기 / 마무리운동:깍지 끼고 상체 숙이기,목 스트레칭,등/어깨 뒤쪽 스트레칭,아래 팔 스트레칭,넙다리 안쪽 스트레칭,허리 스트레칭",F,40대
3395,1,의정부,성인,일반,47,관리자,3등급,20211019,"준비운동:정적 스트레칭  루틴프로그램,스텝박스,달리기",M,40대
3396,1,구미,성인,출장,47,관리자,3등급,20211016,"본운동:턱걸이,팔굽혀펴기,뒤로 팔굽혀펴기,팔꿈치 굽히기,실내 자전거타기,트레드밀에서 걷기,계단 올라갔다 내려오기,수영",F,40대
3411,1,KSPO송파(출장B),성인,출장,40,관리자,3등급,20211020,본운동:달리기,M,40대
3548,2,동구(인천),성인,출장,40,관리자,3등급,20211019,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:조깅,자전거타기 / 마무리운동:정적 스트레칭  루틴프로그램",M,40대
3678,2,세종,성인,일반,42,관리자,3등급,20211020,"준비운동:하지 루틴 스트레칭1,걷기 / 본운동:앉았다 일어서기,앞굽이 앉았다 일어서기,연속 사이드 스쿼드,팔굽혀 펴기,뒤로 팔굽혀펴기,서서 상체 일으키기,윗몸올리기 ,누워서 다리 들어올리기,누워서 엉덩이 들어올리기 / 마무리운동:정적 스트레칭  루틴프로그램",F,40대
3680,1,세종,성인,일반,41,관리자,3등급,20211020,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:달리기,맨몸운동  루틴프로그램 / 마무리운동:전신 루틴 스트레칭",F,40대
3714,4,강북,성인,출장,45,관리자,3등급,20211021,"준비운동:유산소 운동 전 동적 루틴 스트레칭,하지 루틴 스트레칭2,허리 스트레칭,팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기",F,40대
3822,1,영암,성인,일반,44,관리자,3등급,20211023,"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,허리 스트레칭,배스트레칭,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭",F,40대
