,FACI_STAT,CP_NM,CPB_NM,FACI_POINT_X,FACI_POINT_Y,FACI_TEL,거리
298,정상운영,서울특별시,중구,126.991126658,37.5600881481,02-2280-8000,0.01592
326,정상운영,서울특별시,중구,127.016534302,37.5642174922,,0.01515
327,정상운영,서울특별시,중구,126.973561281,37.5594728434,,0.0106
528,정상운영,서울특별시,중구,126.985168359,37.5625310531,,
529,정상운영,서울특별시,중구,126.985168359,37.5625310531,,
533,폐업,서울특별시,중구,126.969775305,37.5625821757,02-2280-8220,
555,정상운영,서울특별시,중구,127.022388298,37.5641624675,02-2231-9313,
595,정상운영,서울특별시,중구,126.9852081547,37.5673387737,,
596,정상운영,서울특별시,중구,126.9852081547,37.5673387737,02-753-9800,
599,정상운영,서울특별시,중구,126.98807882278932,37.566488558384165,,
661,정상운영,서울특별시,중구,127.021721835241,37.5660419798503,02-2233-8487,
909,정상운영,서울특별시,중구,126.99537273,37.5674657491,,
916,정상운영,서울특별시,중구,126.974344818,37.5584963354,02-777-8715,
927,폐업,서울특별시,중구,126.99677658,37.561083138,,
958,정상운영,서울특별시,중구,126.990980962,37.5669321058,,
967,정상운영,서울특별시,중구,126.98228025,37.5610602284,02-752-2907,
972,정상운영,서울특별시,중구,127.018747822,37.562580952,,
973,정상운영,서울특별시,중구,126.979553119,37.5673235138,02-777-5722,
1031,정상운영,서울특별시,중구,127.0217233062,37.5660402677,02-2233-7279,
1126,정상운영,서울특별시,중구,127.0056761478,37.5471680349,02-2233-0555,
1154,정상운영,서울특별시,중구,127.013445844,37.5601742116,,
1177,정상운영,서울특별시,중구,126.986499497,37.5620158428,,
1405,정상운영,서울특별시,중구,126.99203611954444,37.564870702694456,02-2277-5915,
1574,정상운영,서울특별시,중구,126.996554673,37.5626220341,2267-0743,
1889,정상운영,서울특별시,중구,127.0027255872774,37.56568183636144,,
1905,정상운영,서울특별시,중구,126.975169141,37.5573288192,,
2352,정상운영,서울특별시,중구,126.9860425,37.5605994227,02-777-3991,
2356,정상운영,서울특별시,중구,126.993344629,37.5641932345,,
2395,정상운영,서울특별시,중구,127.005713155,37.5575907792,02-2230-3521,
2401,정상운영,서울특별시,중구,127.018690951,37.5705241412,2233-9014,
2422,정상운영,서울특별시,중구,126.985168359,37.5625310531,02-776-1683,
2508,정상운영,서울특별시,중구,126.978363554,37.5631498877,02-775-3938,
2562,정상운영,서울특별시,중구,126.98898432203174,37.56663280569504,,
2572,정상운영,서울특별시,중구,126.984388619,37.5674828275,02-752-0771,
2580,정상운영,서울특별시,중구,126.989478108,37.5646686793,,
2585,정상운영,서울특별시,중구,126.991755647,37.562762352,,
2627,정상운영,서울특별시,중구,126.979879135,37.5672298663,02-775-3738,
2672,폐업,서울특별시,중구,126.992692307,37.5679521513,,
2684,정상운영,서울특별시,중구,127.008054679,37.5671808503,2265-9220,
2724,정상운영,서울특별시,중구,126.975984926,37.568577028,02-736-7085,
2779,정상운영,서울특별시,중구,126.97773888292949,37.56277856106208,02-318-0199,
2794,정상운영,서울특별시,중구,126.968808932,37.5674833434,,
2813,정상운영,서울특별시,중구,127.019069419,37.5631827661,2233-6366,
2816,정상운영,서울특별시,중구,126.998283999,37.5682154558,,
2840,폐업,서울특별시,중구,126.993743126,37.5632345962,2279-3919,
2853,정상운영,서울특별시,중구,127.016430094,37.5638715242,6259-8789,
2935,정상운영,서울특별시,중구,127.020885373,37.564851104,2231-7038,
3141,정상운영,서울특별시,중구,126.994019357,37.5624885854,,
3150,정상운영,서울특별시,중구,126.964488794,37.5595209191,02-392-1220,
3153,정상운영,서울특별시,중구,126.968178426,37.559568823,02-313-6419,
3160,폐업,서울특별시,중구,127.015226177,37.5657493617,2234-4160,
3204,정상운영,서울특별시,중구,126.973824377,37.5579880587,02-753-6280,
3207,정상운영,서울특별시,중구,126.9910766041228,37.56222530863163,,
3208,정상운영,서울특별시,중구,127.01546065615491,37.561136229566806,,
3272,정상운영,서울특별시,중구,127.018028575,37.5650858339,,
3302,정상운영,서울특별시,중구,126.993453405,37.562852558,,
3335,폐업,서울특별시,중구,126.998243256,37.5679631764,2263-5759,
3337,정상운영,서울특별시,중구,127.017385914,37.5661455016,,
3406,정상운영,서울특별시,중구,126.976694876,37.5569435033,02-757-9600,
3625,정상운영,서울특별시,중구,127.019436278,37.5637197002,02-752-9753,
4538,폐업,서울특별시,중구,126.979197267,37.5607353666,02-771-7756,
4567,폐업,서울특별시,중구,126.995984051,37.5658511868,,
4850,정상운영,서울특별시,중구,127.0193427196767,37.569590604936224,,
4864,정상운영,서울특별시,중구,127.01831739171988,37.5612295245824,,
4875,정상운영,서울특별시,중구,126.97955755925118,37.56764426910428,02-757-6788,
5313,폐업,서울특별시,중구,127.011330615,37.5534565967,,
5457,폐업,서울특별시,중구,127.009836834,37.5539684974,,
7244,폐업,서울특별시,중구,126.9866527348,37.5658901444,02-757-3949,
7248,정상운영,서울특별시,중구,126.9924934264279,37.56458241386477,,
7495,폐업,서울특별시,중구,126.97130959650842,37.563847557500885,,
7496,폐업,서울특별시,중구,126.97130959650842,37.563847557500885,,
7675,정상운영,서울특별시,중구,126.9918186704448,37.56604919073951,02-2264-2346,
7676,정상운영,서울특별시,중구,126.9918186704448,37.56604919073951,02-2264-2346,
7730,정상운영,서울특별시,중구,126.9654080168604,37.55907790142372,,
7963,폐업,서울특별시,중구,127.002001117,37.5633608845,2285-2230,
8115,정상운영,서울특별시,중구,126.979600291,37.5603750382,,
8181,폐업,서울특별시,중구,126.988758068,37.5657894521,,
8252,정상운영,서울특별시,중구,127.012100737,37.5569379753,02-2236-1282,
8862,정상운영,서울특별시,중구,126.99009360441056,37.56649955658652,02-2272-0753,
8890,정상운영,서울특별시,중구,127.006818317,37.5637211031,02-2269-1341,
8918,정상운영,서울특별시,중구,127.0135860272,37.5592876145,02-2256-6677,
9460,정상운영,서울특별시,중구,127.014151577,37.5574567218,2256-0717,
9749,정상운영,서울특별시,중구,127.009279418,37.5490130521,02-2256-5553,
9825,정상운영,서울특별시,중구,127.014521674,37.5516794791,,
10164,정상운영,서울특별시,중구,126.9903565664,37.5636992823,02-917-7979,
10230,폐업,서울특별시,중구,126.973724837,37.5578294611,02-757-5734,
10495,정상운영,서울특별시,중구,127.01874782234762,37.562580951985886,,
10501,폐업,서울특별시,중구,127.009646792,37.5546352514,2235-8957,
11032,정상운영,서울특별시,중구,127.000298802,37.5614940362,,
11089,정상운영,서울특별시,중구,126.983415827,37.5645274279,02-776-6174,
11264,정상운영,서울특별시,중구,127.004993467,37.5593135185,02-274-0937,
11286,정상운영,서울특별시,중구,126.990229408,37.5666833711,,
11383,정상운영,서울특별시,중구,126.9795259484,37.567341529,,
11404,정상운영,서울특별시,중구,126.994987966,37.5661574873,,
11456,정상운영,서울특별시,중구,127.009872944,37.5531756162,,
11503,정상운영,서울특별시,중구,126.987055821,37.5651225406,02-771-8492,
11546,정상운영,서울특별시,중구,127.01089764559494,37.5644740300056,02-6348-1842,
11578,폐업,서울특별시,중구,127.002766394,37.5672711923,,
11674,정상운영,서울특별시,중구,127.0161040649,37.5636228941,02-2231-4327,
12262,폐업,서울특별시,중구,126.988758068,37.5657894521,,
12471,정상운영,서울특별시,중구,127.019329191,37.5698032421,,
14244,정상운영,서울특별시,중구,126.991438661,37.563371403,,
14547,정상운영,서울특별시,중구,126.97520773,37.5638304205,02-754-7520,
14730,정상운영,서울특별시,중구,127.01217334,37.5579867287,02-2272-8927,
15010,정상운영,서울특별시,중구,126.990410894,37.5637137026,02-2268-4453,
15324,정상운영,서울특별시,중구,127.015896096,37.5649996446,,
15411,정상운영,서울특별시,중구,126.99828399905918,37.568215455782585,,
15526,정상운영,서울특별시,중구,127.02081298086908,37.56502410809807,,
15560,정상운영,서울특별시,중구,126.96812414914145,37.55945348072233,,
15706,정상운영,서울특별시,중구,126.9978268663,37.5625139448,02-2266-2257,
16268,정상운영,서울특별시,중구,127.016882385,37.5618604362,02-2232-3555,
16372,정상운영,서울특별시,중구,126.992407677,37.561893835,070-4249-1212,
17063,폐업,서울특별시,중구,126.979238012,37.5607353738,,
17555,정상운영,서울특별시,중구,127.020337706,37.5654422531,,
17838,정상운영,서울특별시,중구,126.97382401020188,37.55903681935151,,
18106,폐업,서울특별시,중구,127.01055686156752,37.555806470566296,,
18249,폐업,서울특별시,중구,126.98967720915564,37.56545436551725,,
18286,정상운영,서울특별시,중구,127.002766394,37.5672711923,,
18363,정상운영,서울특별시,중구,126.96922255,37.5635947529,,
18833,정상운영,서울특별시,중구,126.979525948,37.567341529,02-319-0971,
18899,정상운영,서울특별시,중구,126.996862669,37.5594036821,,
20376,정상운영,서울특별시,중구,127.006323276,37.5453660039,,
20429,정상운영,서울특별시,중구,127.0197935437,37.5622023627,02-2233-0753,
20489,정상운영,서울특별시,중구,126.979238012,37.5607353738,02-1111-1111,
20542,정상운영,서울특별시,중구,126.97421220368604,37.5623489690836,,
20786,정상운영,서울특별시,중구,127.002263646,37.5613606673,02-2264-4595,
21661,정상운영,서울특별시,중구,126.967931527,37.5652414304,,
22512,정상운영,서울특별시,중구,127.0188663518,37.5658245198,,
22755,정상운영,서울특별시,중구,127.008077351,37.5674871874,6388-3333,
23325,정상운영,서울특별시,중구,126.976014137939,37.5632576434766,02-756-8404,
23478,폐업,서울특별시,중구,127.018303813,37.5612403386,,
23588,정상운영,서울특별시,중구,127.012564511,37.5689536161,2232-3949,
24016,정상운영,서울특별시,중구,127.005573411,37.5655772207,,
24242,정상운영,서울특별시,중구,126.972035326,37.5602653691,02-775-0058,
24860,정상운영,서울특별시,중구,127.02326816550726,37.56911417089922,,
24916,폐업,서울특별시,중구,126.98871712937738,37.567054446542095,,
25376,정상운영,서울특별시,중구,126.99877307824534,37.562921208813314,,
25412,폐업,서울특별시,중구,126.990967349,37.5671879875,,
25420,폐업,서울특별시,중구,127.01769811,37.5652732911,2232-3325,
25529,정상운영,서울특별시,중구,127.0100678489832,37.55505327924566,,
25688,정상운영,서울특별시,중구,126.995413909,37.5604415832,02-2263-7523,
26144,정상운영,서울특별시,중구,127.0043510131902,37.56626923706158,02-3425-8000,
26426,폐업,서울특별시,중구,126.968785556,37.5584012928,02-392-5468,
26728,폐업,서울특별시,중구,127.015243826,37.5634860569,,
27021,정상운영,서울특별시,중구,127.007764965,37.5677070513,,
27238,정상운영,서울특별시,중구,126.99091789156888,37.56433002422362,,
27589,정상운영,서울특별시,중구,127.001770353,37.5690479749,,
27666,정상운영,서울특별시,중구,126.978110149,37.5627065508,,
27818,정상운영,서울특별시,중구,127.021462076,37.5708119884,2231-8000,
27819,정상운영,서울특별시,중구,127.021462076,37.5708119884,,
27938,정상운영,서울특별시,중구,127.008077351,37.5674871874,02-6388-3690,
28026,정상운영,서울특별시,중구,127.00096436854918,37.56565303200987,,
28284,폐업,서울특별시,중구,126.98940985573832,37.56706892664675,,
28320,정상운영,서울특별시,중구,126.96722065740076,37.55501672247168,02-363-0452,
28762,폐업,서울특별시,중구,127.021757762,37.5599711491,02-2252-7333,
29183,폐업,서울특별시,중구,127.022316092,37.5649445459,,
29185,정상운영,서울특별시,중구,127.02027801822526,37.56238247984389,02-2236-1009,
29578,정상운영,서울특별시,중구,126.9750771931386,37.56155267382679,,
30745,정상운영,서울특별시,중구,126.997319885,37.5601893627,,
31181,,서울특별시,중구,127.014151577,37.5574567218,2238-1275,
31251,정상운영,서울특별시,중구,127.000497927,37.550069386,02-2236-3356,
31263,정상운영,서울특별시,중구,127.02143495625296,37.570977776453645,,
31896,폐업,서울특별시,중구,126.978257891,37.5684224972,3782-0022,
32156,폐업,서울특별시,중구,126.971255258,37.5638727722,2000-6030,
32447,폐업,서울특별시,중구,127.000860235,37.5656530328,,
32448,폐업,서울특별시,중구,127.000860235,37.5656530328,,
32677,폐업,서울특별시,중구,127.018448019,37.5585373253,2231-0419,
32728,정상운영,서울특별시,중구,127.010502104,37.5527142509,02-2235-3711,
33075,정상운영,서울특별시,중구,127.013811709,37.5556223312,,
33354,정상운영,서울특별시,중구,126.993285885,37.5629282323,,
34411,정상운영,서울특별시,중구,126.974924133,37.5589613744,02-755-7979,
34514,정상운영,서울특별시,중구,126.979503544,37.5664873811,02-752-0230,
34525,정상운영,서울특별시,중구,127.016765109,37.5637993974,,
34605,정상운영,서울특별시,중구,127.005025,37.558402,02-3423-6244,
35286,정상운영,서울특별시,중구,127.0018019593,37.5653899313,,
35288,정상운영,서울특별시,중구,126.99507428672712,37.56165611321331,,
35289,폐업,서울특별시,중구,126.995074287,37.5616561132,2268-1570,
35786,정상운영,서울특별시,중구,127.00995483107212,37.55621737774445,,
35792,정상운영,서울특별시,중구,127.014791034,37.5632374394,,
35905,정상운영,서울특별시,중구,127.01346519,37.5670470098,02-2233-0008,
35931,정상운영,서울특별시,중구,126.9955901483,37.5659268564,,
36294,정상운영,서울특별시,중구,126.983868536,37.5647112939,02-775-6915,
36753,정상운영,서울특별시,중구,126.982565686,37.5601232342,02-778-9343,
36811,폐업,서울특별시,중구,126.972909411,37.559353764,,
37613,정상운영,서울특별시,중구,126.983981543,37.5655510377,02-755-0602,
38315,정상운영,서울특별시,중구,126.972301415,37.5630152737,02-753-0609,
38335,정상운영,서울특별시,중구,126.965304338522,37.55811560607746,,
38456,정상운영,서울특별시,중구,126.99943857025984,37.56742619463982,,
38459,폐업,서울특별시,중구,126.999456681,37.5674406107,2279-7090,
38721,정상운영,서울특별시,중구,126.965250805,37.5564109034,02-363-0017,
38722,정상운영,서울특별시,중구,127.008261319,37.5523972776,02-2233-5915,
38882,정상운영,서울특별시,중구,127.015171526,37.5641708234,2236-2979,
39767,정상운영,서울특별시,중구,127.01385442,37.5662540884,,
39849,정상운영,서울특별시,중구,126.973899833,37.5623020486,02-771-3979,
40199,정상운영,서울특별시,중구,126.99027491,37.5649534624,,
40280,정상운영,서울특별시,중구,126.983401713,37.5669240755,02-774-6929,
40392,폐업,서울특별시,중구,126.976697836,37.5619746712,6328-0201,
40410,정상운영,서울특별시,중구,127.015909856,37.5658357671,,
40712,정상운영,서울특별시,중구,126.9720883394,37.5637864764,02-777-5011,
40713,정상운영,서울특별시,중구,126.9720883394,37.5637864764,02-777-5011,
41425,정상운영,서울특별시,중구,126.9801416194,37.5676804086,,
41922,정상운영,서울특별시,중구,127.006506111,37.5658763037,,
42764,정상운영,서울특별시,중구,126.971744608,37.5628493584,,
43157,정상운영,서울특별시,중구,127.018448019,37.5585373253,02-2232-1152,
43261,정상운영,서울특별시,중구,127.019373457,37.5658965173,,
43289,정상운영,서울특별시,중구,127.013487505,37.5652558272,02-2237-0251,
43300,정상운영,서울특별시,중구,127.013482977,37.5652522238,02-2237-0251,
43577,정상운영,서울특별시,중구,126.98979918,37.5674509832,02-306-0848,
43621,폐업,서울특별시,중구,126.971640368,37.5631412563,02-752-5534,
43756,정상운영,서울특별시,중구,127.01436933,37.559824516,,
45400,정상운영,서울특별시,중구,127.020921869,37.5658385893,,
45416,정상운영,서울특별시,중구,127.00589463739588,37.56266878901116,,
45438,폐업,서울특별시,중구,127.001616408,37.5689975214,2273-8382,
45769,정상운영,서울특별시,중구,127.005676148,37.5471680349,02-2233-5954,
45782,정상운영,서울특별시,중구,127.01210073771573,37.55694518327188,02-2236-1282,
45864,정상운영,서울특별시,중구,126.965304339,37.5581156061,02-313-0032,
46017,폐업,서울특별시,중구,126.991619869,37.5623731119,070-8160-2925,
47003,정상운영,서울특별시,중구,126.990410894,37.5637137026,,
47109,폐업,서울특별시,중구,127.020976469,37.5667972393,02-2231-5547,
47164,폐업,서울특별시,중구,126.978657761,37.5634094283,02-752-0004,
47425,정상운영,서울특별시,중구,127.0163105142,37.5553084653,02-2232-0002,
48256,정상운영,서울특별시,중구,127.00927941764496,37.54901305214593,02-2238-1275,
48489,정상운영,서울특별시,중구,126.96932504002834,37.56759520208418,02-318-0687,
48754,정상운영,서울특별시,중구,127.016639224,37.5677710058,,
49485,폐업,서울특별시,중구,126.996717647,37.5628743177,070-8640-6447,
50518,정상운영,서울특별시,중구,126.977245261,37.5632325692,02-776-4904,
50587,정상운영,서울특별시,중구,127.023253231,37.5647677698,2254-0880,
51024,정상운영,서울특별시,중구,126.974670719,37.5586477733,02-754-2500,
51869,정상운영,서울특별시,중구,126.983701146,37.5641274253,02-847-6915,
51901,정상운영,서울특별시,중구,126.997727082,37.568507369,,
52699,정상운영,서울특별시,중구,126.9720353263,37.5602653691,02-779-9988,
52810,정상운영,서울특별시,중구,126.994014568,37.5657610038,,
52929,정상운영,서울특별시,중구,126.9841089715,37.5624588355,02-754-0707,
53320,정상운영,서울특별시,중구,126.995409653,37.5560194887,02-777-3434,
53831,정상운영,서울특별시,중구,126.991397892,37.5635588073,,
54021,정상운영,서울특별시,중구,126.971881742,37.5593571277,02-756-6130,
54102,정상운영,서울특별시,중구,126.986562073,37.5665028114,02-773-1772,
54205,정상운영,서울특별시,중구,127.023239868,37.5654741534,,
54530,폐업,서울특별시,중구,127.019224186,37.5664335353,,
55199,정상운영,서울특별시,중구,126.999175952,37.5686587552,,
55435,정상운영,서울특별시,중구,127.00497090639858,37.560452379612215,02-2252-4515,
55913,정상운영,서울특별시,중구,126.97271529318886,37.55784364810054,02-3789-9199,
56378,정상운영,서울특별시,중구,127.01067453,37.5555794086,2252-2848,
56456,정상운영,서울특별시,중구,126.985911563,37.5587289374,02-777-6637,
56473,정상운영,서울특별시,중구,127.007733368,37.5686440889,,
56567,정상운영,서울특별시,중구,127.023253231,37.5647677698,,
57679,정상운영,서울특별시,중구,127.009252969,37.5547614227,070-8116-5979,
57843,폐업,서울특별시,중구,127.001263196,37.5661720029,02-2275-5748,
58026,폐업,서울특별시,중구,126.984113576,37.5620948335,,
58177,정상운영,서울특별시,중구,127.004586106,37.5606938623,2269-3913,
58194,정상운영,서울특별시,중구,127.01983921947888,37.56371963315201,02-2237-5307,
59229,정상운영,서울특별시,중구,126.99685352,37.5616345501,,
59365,정상운영,서울특별시,중구,127.015099566,37.5665494624,,
59866,폐업,서울특별시,중구,126.992081654,37.5624163916,2285-6783,
