,0,1
0,22,한발 앞으로 내밀고 앉았다 일어서기
1,16,바벨 끌어당기기 
2,13,계단 올라갔다 내려오기
3,12,엎드려 버티기
4,12,윗몸올리기 
5,12,앉았다 일어서기
6,10,스텝퍼 오르내리기
7,10,달리기
8,9,뒤꿈치 들기 
9,8,실내 자전거타기
10,7,네발기기 자세로 팔 다리 들기
11,7,누워서 엉덩이 들어올리기
12,7,팔굽혀펴기
13,5,엉덩이 스트레칭
14,5,누워서 다리 들어올리기
15,5,넙다리 앞쪽 스트레칭
16,5,배스트레칭
17,5,소파를 이용한 윗몸올리기
18,5,넙다리 뒤쪽 스트레칭
19,5,허리 스트레칭
20,5,엎드려서 팔 다리 들기
21,4,가슴/어깨 앞쪽 스트레칭
22,4,앉아서 당겨 내리기
23,4,허리 굽혀 덤벨 들기
24,4,버피운동 
25,4,팔벌려뛰기
26,4,턱걸이
27,4,옆으로 누워 버티기
28,4,서서 상체 일으키기
29,4,등/어깨 뒤쪽 스트레칭
30,4,트레드밀에서 걷기
31,4,달리기 
32,4,몸통 들어올리기
33,3,앉아서 몸통 움츠리기 
34,3,누워서 수직으로 다리 들어올리기 
35,3,물병 옆으로 들어올리기 
36,3,고정한 상태에서 덤벨 들고 팔꿈치 굽히기
37,3,덤벨 옆으로 들어올리기
38,3,넙다리 안쪽 스트레칭
39,3,맨몸운동  루틴프로그램
40,3,엎드려서 팔 다리 들기 
41,3,허리 굽혀 팔 뒤로 들기
42,3,바벨들어올리기
43,2,넙다리 안쪽 스트레칭 
44,2,수영
45,2,요가 및 필라테스  루틴프로그램
46,2,스텝퍼 옆으로 뛰어넘기
47,2,앉아서 다리 밀기
48,2,누워서 배가로근 수축 II
49,2,팔굽혀펴기 
50,2,수영 
51,2,누워서 엉덩이 들어올리기 
52,2,목 스트레칭
53,2,앞굽이 앉았다 일어서기
54,2,연속 사이드 스쿼드
55,2,웨이트 트레이닝  루틴프로그램
56,2,아래 팔 스트레칭
57,2,앉아서 밀기
58,2,바벨 잡고 들어올리기
59,2,좌식생활자를 위한 동적 루틴 스트레칭 
60,2,누워서 배가로근 수축 I
61,2,목 스트레칭 
62,2,옆구리 스트레칭
63,2,작은 공을 이용한 동적 루틴 스트레칭  
64,2,사다리 옆으로 발 옮기기
65,2,팔다리 교차 버티기
66,2,윗몸 말아 올리기
67,2,팔굽혀 펴기
68,2,짐볼을 이용한 동적 루틴 스트레칭
69,2,유산소 운동 전 동적 루틴 스트레칭
70,2,조깅
71,2,스텝퍼 뛰어서 오르내리기
72,2,누워서 가슴 밀기
73,2,뒤로 팔굽혀펴기
74,2,자전거타기 
75,2,계단 뛰어 오르기
76,2,앉아서 다리 펴기
77,1,트레드밀에서 걷기 
78,1,무릎 높여 제자리 달리기 
79,1,네발기기 자세로 팔 다리 들기 
80,1,허리 굽혀 덤벨 뒤로 들기
81,1,한발 앞으로 내밀고 앉았다 일어서기 
82,1,원판던지기
83,1,밴드 잡고 몸통 옆으로 굽히기 
84,1,서서 다리 뒤로 차기
85,1,계단 두발 뛰기 
86,1,앉아서 다리 굽히기
87,1,덤벨 잡고 뒤꿈치 들기
88,1,누워서 하늘 자전거
89,1,엎드려서 다리 차올리기 
90,1,누워서 공들고 몸 기울이기
91,1,뒤꿈치 들기
92,1,물병 옆으로 들어올리기
93,1,앉아서 밴드 잡고 몸통 돌리기
94,1,누워서 배가로근 수축 I 
95,1,누워 다리 들어올리기
96,1,버피 테스트 
97,1,제자리 뛰기 
98,1,네발기기 자세에서 다리 위로 뻗어올리기
99,1,누워서 덤벨 모아들기
100,1,누워서 팔 다리 동시에 들어올리기
101,1,좌식생활자를 위한 동적 루틴 스트레칭  
102,1,맨몸운동  루틴프로그램 
103,1,옆으로 펀치하기
104,1,계단 올라갔다 내려오기 
105,1,엎드려서 균형잡기
106,1,저항밴드 운동  루틴프로그램
107,1,몸통 옆으로 굽히기
108,1,매달려서 다리 들기
109,1,네발기기 자세에서 손바닥으로 바닥밀기
110,1,앉아서 양팔 당기기
111,1,앉아서 가슴 모으기
112,1,머신이용 근력운동 루틴프로그램
113,1,손목 펴기/굽히기
114,1,누워서 공들고 몸 기울이기 
115,1,한 발 뒤로 들어올리기 
116,1,의자 앞에서 앉았다 일어서기
117,1,밴드 걸고 누워서 다리 들어올리기
118,1,서서 뒤꿈치 들기 
119,1,상지 루틴 스트레칭
120,1,누워서 팔 밀기
121,1,전신 루틴 스트레칭 
