,0,1
0,18,윗몸 말아 올리기
1,12,유산소 운동 전 동적 루틴 스트레칭 
2,10,전신 루틴 스트레칭
3,10,의자 앞에서 앉았다 일어서기
4,7,상지 루틴 스트레칭 
5,7,어깨 뒤쪽 스트레칭
6,6,걷기
7,5,상지 루틴 스트레칭 
8,5,의자 앞에서 앉았다 일어서기
9,5,누워서 엉덩이 들어올리기
10,4,하지 루틴 스트레칭1
11,4,상지 루틴 스트레칭 
12,4,자가근막이완술 루틴 스트레칭 
13,4,하지 루틴 스트레칭1
14,4,누워 다리 들어올리기
15,4,덤벨 잡고 뒤꿈치 들기
16,3,전신 루틴 스트레칭
17,3,앉았다 일어서기
18,3,팔굽혀 펴기
19,3,하지 루틴 스트레칭1
20,3,하지 루틴 스트레칭2
21,3,자가근막이완술 루틴 스트레칭 
22,3,자가근막이완술 루틴 스트레칭 
23,3,깍지 끼고 상체 숙이기
24,3,목 스트레칭
25,3,발에 밴드걸고 윗몸일으키기
26,3,걷기 
27,3,팔굽혀 펴기
28,3,플렉스 바 비틀기 
29,2,유산소 운동 전 동적 루틴 스트레칭 
30,2,바벨 끌어당기기
31,2,매달려서 다리 들기
32,2,유산소 운동 전 동적 루틴 스트레칭 
33,2,상지 루틴 스트레칭 
34,2,하지 루틴 스트레칭1
35,2,런지하며 상체 비틀기 
36,2,걷기 
37,2,걷기 
38,1,달리기 
39,1,걷기
40,1,턱걸이
41,1,팔굽혀펴기
42,1,한발 앞으로 내밀고 앉았다 일어서기 
43,1,유산소 운동 전 동적 루틴 스트레칭 
44,1,뒤꿈치 들기
45,1,누워 다리 들어올리기
46,1,누워서 엉덩이 들어올리기
47,1,덤벨 잡고 뒤꿈치 들기
48,1,전완대고 버티기
49,1,플렉스 바 비틀기 
50,1,유산소 운동 전 동적 루틴 스트레칭 
51,1,하지 루틴 스트레칭1
52,1,걷기 
53,1,유산소 운동 전 동적 루틴 스트레칭
54,1,정적 스트레칭  루틴프로그램 
55,1,유산소 운동 전 동적 루틴 스트레칭 
56,1,걷기 
57,1,하지 루틴 스트레칭1
58,1,상지 루틴 스트레칭
59,1,전신 루틴 스트레칭 
60,1,등/어깨 뒤쪽 스트레칭
61,1,아래 팔 스트레칭 
62,1,동적 스트레칭 루틴프로그램 
63,1,걷기 
64,1,유산소 운동 전 동적 루틴 스트레칭 
65,1,계단 올라갔다 내려오기 
66,1,전신 루틴 스트레칭 
67,1,한 발 뒤로 들어올리기
68,1,목 스트레칭
69,1,등/어깨 뒤쪽 스트레칭
70,1,상지 루틴 스트레칭
71,1,하지 루틴 스트레칭1 
72,1,뒤꿈치 들기
73,1,윗몸 말아 올리기
74,1,전완대고 버티기
